playerID,Seasons,Wins,Loses,Games,Games_Started,Complete_Games,Shut_Outs,Earned_Runs,Strike_Outs,Walks,Games_Finished,Runs_Allowed,Batters_Faced
shipljo01,4,0,1,29,1,0,0,29,23,35,13,36,214
shiredu01,1,0,1,2,1,0,0,3,0,2,1,4,19
shirlbo01,12,67,94,434,162,16,2,608,790,543,105,689,6106
shirlst01,1,1,1,11,0,0,0,6,8,7,6,6,58
shirlte01,5,19,30,102,54,19,3,211,168,290,26,247,2021
shochge01,1,0,0,1,0,0,0,0,0,1,1,0,13
shockur01,13,187,117,412,317,200,28,945,983,657,68,1127,11140
shoemma01,6,40,32,101,93,1,1,238,490,129,6,248,2255
shoffmi01,8,25,26,134,51,22,2,294,180,214,41,331,2549
shorebi01,6,26,15,96,39,14,2,183,129,168,39,218,1740
shoreer01,7,65,43,160,121,56,9,269,309,270,23,373,3987
shorera01,3,1,3,31,4,0,0,57,26,67,11,62,322
shortbi01,7,5,11,73,16,3,1,69,71,64,16,75,577
shortch02,15,135,132,501,308,88,24,886,1629,806,78,991,9801
shouncl01,17,73,59,454,85,34,3,559,483,404,207,631,5466
shousbr01,11,13,10,467,0,0,0,145,233,118,101,163,1508
shower01,11,101,89,332,235,35,11,673,971,610,37,739,6968
shrevch01,6,15,8,215,0,0,0,82,232,101,63,89,876
shrevle01,4,19,37,57,57,53,3,257,141,189,0,361,2150
shrivha01,2,4,6,26,15,4,2,39,39,48,8,52,487
shuckja01,1,0,0,1,0,0,0,1,0,0,1,1,4
shueypa01,12,45,28,476,0,0,0,228,556,277,156,252,2309
shultto01,2,1,7,27,7,3,0,56,29,50,15,72,393
shumaan01,1,0,3,8,4,0,0,15,17,14,2,17,105
shumaha01,3,0,0,30,0,0,0,25,10,20,19,35,227
siebepa01,6,3,8,87,7,1,1,54,59,73,30,61,578
siebeso01,15,140,114,399,307,67,21,767,1512,692,42,907,8951
siebldw01,5,4,3,48,8,2,0,45,71,44,12,53,487
siegrke01,6,18,10,276,0,0,0,83,286,116,51,86,1024
sierrca01,2,0,1,16,0,0,0,17,24,12,4,17,127
sieveed01,7,83,82,203,174,136,14,435,470,311,28,674,6170
signewa01,2,2,1,10,2,1,0,11,5,9,3,14,152
