playerID,Total_Games,Games_Started,Games_Pitched,Games_Catcher,Games_First_Base,Games_Second_Base,Games_Third_Base,Games_Short_Stop,Games_Left_Field,Games_Right_Field,Games_Center_Field,Games_Out_Field,Games_DH
peavyja01,393,377,388,0,0,0,0,0,0,0,0,0,0
colavro01,1841,1753,2,0,11,0,0,0,525,1282,0,1772,0
shannwa02,65,15,0,0,0,25,0,22,0,0,0,0,0
willibe01,102,36,0,0,0,0,0,0,43,6,3,52,0
cartega01,2296,2128,0,2056,76,0,3,0,5,132,0,137,0
dicksja01,73,63,73,0,0,0,0,0,0,0,0,0,0
stewasc01,214,0,214,0,0,0,0,0,0,0,0,0,0
engeljo01,103,53,102,0,0,0,0,0,0,0,0,0,0
bellbe01,767,669,0,0,86,0,5,0,67,533,0,597,0
lehnepa01,540,412,0,0,20,0,0,0,110,37,297,432,0
bakerfr02,125,86,0,0,0,0,0,0,62,30,7,98,0
bellhma01,731,519,0,0,41,350,221,31,1,4,3,8,12
rodrifr03,948,0,948,0,0,0,0,0,0,0,0,0,0
gonzach01,17,13,17,0,0,0,0,0,0,0,0,0,0
welchcu01,1107,NULL,1,2,4,36,0,2,17,0,1059,1075,0
tylerfr01,6,6,0,6,0,0,0,0,0,0,0,0,0
andreiv01,253,108,249,0,0,0,0,0,0,0,0,0,0
bessehe01,71,25,65,0,0,0,0,0,0,0,0,0,0
freesge01,61,49,0,0,0,0,50,0,0,0,0,0,0
limmelo01,209,119,0,0,137,0,0,0,0,0,0,0,0
poulske01,5,0,0,0,0,0,2,1,0,0,0,0,0
mullira01,1325,991,0,0,3,28,731,207,0,0,0,0,303
drabedo01,412,387,398,0,0,0,0,0,0,0,0,0,0
canizba01,5,5,0,0,5,0,0,0,0,0,0,0,0
patteca01,274,65,270,0,0,0,0,0,0,3,0,3,0
gravejo01,2,1,0,0,0,0,2,0,0,0,0,0,0
shephke01,41,1,41,0,0,0,0,0,0,0,0,0,0
loaizes01,379,333,377,0,0,0,0,0,0,0,0,0,0
custja01,670,603,0,0,0,0,0,0,126,107,0,231,389
snowch01,1,0,0,0,0,0,0,0,0,0,1,1,0
myershy01,1308,1236,0,0,22,43,32,0,7,25,1150,1181,0
hanleji01,1,0,1,0,0,0,0,0,0,0,0,0,0
schemfr01,2,0,1,0,0,0,0,0,0,0,0,0,0
speedho01,113,32,0,0,0,0,0,0,27,39,25,86,7
bautijo01,314,49,312,0,0,0,0,0,0,0,0,0,0
ramirer01,91,0,91,0,0,0,0,0,0,0,0,0,0
roberda10,163,148,1,0,1,80,36,53,5,0,0,5,4
hillbi01,124,NULL,124,0,0,0,0,0,0,0,0,0,0
hartucl01,196,113,112,0,1,0,0,0,11,35,0,45,0
martijo06,4,1,4,0,0,0,0,0,0,0,0,0,0
haltesh01,690,502,2,2,55,68,262,262,27,24,16,61,14
crawfbr01,1104,1016,0,0,0,0,0,1079,0,0,0,0,0
hurledi01,2,2,0,0,0,0,0,0,0,2,0,2,0
willigu01,2,NULL,2,0,0,0,0,0,0,0,0,0,0
leroylo01,15,2,15,0,0,0,0,0,0,0,0,0,0
spencha01,1,0,1,0,0,0,0,0,0,0,0,0,0
fridask01,7,2,7,0,0,0,0,0,0,0,0,0,0
fusseed01,109,NULL,4,78,0,0,6,5,5,13,2,20,0
herred01,66,NULL,0,0,0,7,16,28,4,3,8,15,0
jamesar01,11,11,0,0,0,0,0,0,0,7,4,11,0
landera01,596,261,0,0,2,297,46,125,12,7,4,23,0
phillpa01,91,54,0,73,7,0,0,0,0,0,0,0,4
normabi01,37,21,0,0,0,0,0,0,4,0,26,30,0
benesjo01,10,3,0,0,0,2,1,6,0,0,0,0,0
sweenha01,1,0,0,0,1,0,0,0,0,0,0,0,0
chicktr01,3,0,3,0,0,0,0,0,0,0,0,0,0
babicjo01,112,86,112,0,0,0,0,0,0,0,0,0,0
bucheji01,554,400,0,0,0,179,204,0,30,43,1,72,0
mickeed01,18,9,0,0,9,0,0,0,0,0,0,0,0
guerrpe01,1536,1425,0,0,573,12,374,0,216,240,108,541,0
sudhowi01,303,5,278,0,0,0,7,0,3,3,11,17,0
huntbe01,9,8,9,0,0,0,0,0,0,0,0,0,0
purdypi01,181,117,0,0,0,0,0,0,92,21,18,129,0
yuhased01,56,2,56,0,0,0,0,0,0,0,0,0,0
faneyri01,80,22,0,0,0,0,0,0,6,15,33,52,2
whitebi04,17,0,17,0,0,0,0,0,0,0,0,0,0
reddijo01,1054,925,0,0,1,0,0,0,130,903,38,1003,28
morgaad01,142,36,142,0,0,0,0,0,0,0,0,0,0
glockno01,7,2,0,7,0,0,0,0,0,0,0,0,0
dilliha01,11,2,11,0,0,0,0,0,0,0,0,0,0
georgch01,2,1,2,0,0,0,0,0,0,0,0,0,0
buforda01,699,485,0,0,0,1,1,0,52,62,519,624,44
comisch01,1390,NULL,4,0,1363,25,0,0,3,11,3,17,0
luskech01,11,NULL,0,3,0,0,0,0,8,0,0,8,NULL
hobbigl01,284,170,284,0,0,0,0,0,0,0,0,0,0
mikkepe01,364,3,364,0,0,0,0,0,0,0,0,0,0
demarch01,18,0,18,0,0,0,0,0,0,0,0,0,0
oneilde01,7,NULL,0,0,7,0,0,0,0,0,0,0,0
seela01,26,12,0,2,10,1,1,0,0,0,0,0,7
hernami01,45,34,0,44,0,0,0,0,0,0,0,0,1
parkeja03,135,88,0,0,0,0,0,0,66,35,5,99,5
santaan02,46,33,0,0,0,0,0,0,5,37,0,41,3
andergo01,127,114,0,0,0,5,0,0,2,89,26,117,0
zeidjo01,48,0,48,0,0,0,0,0,0,0,0,0,0
motteta01,143,98,2,0,21,26,12,49,23,16,0,38,4
pfefffr01,1671,NULL,8,0,15,1538,1,121,0,1,2,3,0
suthesu01,17,8,13,0,0,0,0,0,0,1,0,1,0
nunezed01,427,14,427,0,0,0,0,0,0,0,0,0,0
newmaal01,854,545,0,0,1,424,200,261,11,0,1,11,13
fickch01,20,0,20,0,0,0,0,0,0,0,0,0,0
manaese01,81,80,81,0,0,0,0,0,0,0,0,0,0
welchmi01,607,NULL,565,0,0,0,0,0,5,21,34,59,0
mayja01,410,160,410,0,0,0,0,0,0,0,0,0,0
braxtga01,283,71,283,0,0,0,0,0,0,0,0,0,0
bosweke01,930,574,0,0,0,567,82,0,3,5,0,8,0
croweji01,10,1,10,0,0,0,0,0,0,0,0,0,0
ruppca01,296,287,0,293,0,0,0,0,0,0,0,0,0
krugear01,367,336,0,0,0,0,0,0,129,31,188,345,0
donaljo01,405,314,0,0,0,327,11,9,0,0,0,0,0
youngde04,344,136,0,0,0,70,8,0,26,59,0,82,5
crompne01,18,18,0,0,0,0,0,0,15,0,3,18,0
tillmru01,38,12,0,0,0,0,0,0,9,13,0,21,0
petribe01,240,181,0,165,4,0,0,0,34,3,17,50,0
falchan01,5,NULL,0,2,0,0,0,0,3,0,0,3,0
donovmi01,7,5,0,0,0,0,5,1,0,0,0,0,0
menosmi01,812,635,0,0,0,0,0,0,571,65,53,684,0
strikja01,3,1,3,0,0,0,0,0,0,0,0,0,0
