playerID,nameLast,nameFirst,yearid,inducted,category
suttodo01,Sutton,Don,1998,Y,Player
taylobe99,Taylor,Ben,2006,Y,Player
terrybi01,Terry,Bill,1954,Y,Player
thomafr04,Thomas,Frank,2014,Y,Player
thomeji01,Thome,Jim,2018,Y,Player
thompsa01,Thompson,Sam,1974,Y,Player
tinkejo01,Tinker,Joe,1946,Y,Player
torricr99,Torriente,Cristobal,2006,Y,Player
trammal01,Trammell,Alan,2018,Y,Player
traynpi01,Traynor,Pie,1948,Y,Player
vanceda01,Vance,Dazzy,1955,Y,Player
vaughar01,Vaughan,Arky,1985,Y,Player
wadderu01,Waddell,Rube,1946,Y,Player
wagneho01,Wagner,Honus,1936,Y,Player
wallabo01,Wallace,Bobby,1953,Y,Player
walshed01,Walsh,Ed,1946,Y,Player
wanerll01,Waner,Lloyd,1967,Y,Player
wanerpa01,Waner,Paul,1952,Y,Player
wardjo01,Ward,John,1964,Y,Player
welchmi01,Welch,Mickey,1973,Y,Player
wellswi99,Wells,Willie,1997,Y,Player
wheatza01,Wheat,Zack,1959,Y,Player
whitede01,White,Deacon,2013,Y,Player
wilheho01,Wilhelm,Hoyt,1985,Y,Player
willibi01,Williams,Billy,1987,Y,Player
willijo99,Williams,Smokey Joe,1999,Y,Player
willite01,Williams,Ted,1966,Y,Player
willivi01,Willis,Vic,1995,Y,Player
wilsoha01,Wilson,Hack,1979,Y,Player
wilsoju99,Wilson,Jud,2006,Y,Player
winfida01,Winfield,Dave,2001,Y,Player
wynnea01,Wynn,Early,1972,Y,Player
yastrca01,Yastrzemski,Carl,1989,Y,Player
youngcy01,Young,Cy,1937,Y,Player
youngro01,Youngs,Ross,1972,Y,Player
yountro01,Yount,Robin,1999,Y,Player
