playerID,Seasons,Hits,RBIs,Runs,Stolen_Bases,Strike_Outs,Home_Runs,Walks,Games,Triples,Doubles,Caught_Stealing,At_Bats,Intentional_Walks,Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Ground_Into_Double_Plays
lindsax01,1,1,1,0,0,0,0,0,1,0,0,NULL,2,NULL,0,0,NULL,NULL
lindsbi01,1,16,5,6,2,NULL,0,1,19,0,2,NULL,66,NULL,1,0,NULL,NULL
lindsbi02,1,3,1,2,0,3,0,0,9,0,0,0,16,0,0,2,1,2
lindsch01,2,200,67,97,28,87,0,63,229,3,30,NULL,828,NULL,8,35,NULL,NULL
lindsch02,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0
lindsdo01,3,1,0,0,0,4,0,0,5,0,0,0,6,0,0,0,0,0
lindsfr01,13,1747,779,895,84,276,103,334,1438,81,301,10,5611,NULL,13,146,NULL,35
lindsji01,10,18,6,6,0,23,0,1,177,1,1,0,97,0,0,10,0,0
lindsjo01,1,1,0,0,0,3,0,0,11,0,0,0,12,0,1,0,0,1
lindsma01,9,0,0,0,0,1,0,0,469,0,0,0,1,0,0,0,0,0
lindsro01,1,1,0,6,2,1,0,0,11,0,1,1,3,0,1,1,0,0
lindssh01,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
linebsc01,15,4,0,0,0,10,0,0,607,0,1,0,18,0,0,2,0,0
linesdi01,2,1,0,2,0,9,0,3,107,0,0,0,19,0,0,2,0,0
linhaca01,1,0,0,0,0,0,0,0,3,0,0,0,2,NULL,0,0,NULL,1
liniaco01,2,7,2,3,0,6,0,1,15,0,2,1,32,0,0,0,0,2
linkeed01,6,41,17,26,0,24,2,19,122,1,6,0,156,NULL,0,4,NULL,NULL
linkfr01,2,8,0,2,1,12,0,2,25,0,0,NULL,48,NULL,0,3,NULL,NULL
linkjo01,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
lintobo01,1,2,1,0,0,2,0,1,17,0,0,NULL,18,NULL,0,0,NULL,NULL
lintodo01,8,0,0,0,0,3,0,0,112,0,0,0,7,0,0,2,0,0
lintro01,1,1,2,1,1,3,0,6,31,0,1,0,10,NULL,0,1,0,0
lintz01,2,31,8,22,1,34,1,17,62,3,6,2,121,0,0,1,0,0
lintzla01,7,140,27,137,128,101,0,97,350,1,13,38,616,1,4,39,0,5
linzph01,8,322,96,185,13,195,11,112,519,4,64,13,1372,5,7,21,6,35
linzyfr01,12,18,3,5,0,42,1,3,516,1,0,0,121,0,1,14,0,1
lipetan01,2,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0
liponjo01,11,690,266,351,28,152,10,347,758,24,95,25,2661,NULL,7,74,0,65
lippto01,1,1,0,0,0,0,0,0,1,0,0,NULL,1,NULL,0,0,NULL,NULL
lipscni01,1,31,8,11,0,10,0,11,36,1,9,0,96,NULL,1,1,NULL,NULL
lipskbo01,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
lirafe01,8,4,3,3,0,13,2,0,164,0,0,0,19,0,0,1,1,0
liriafr01,16,33,15,7,0,85,2,8,352,0,3,0,217,0,0,15,0,4
liriane01,12,576,240,296,59,300,25,212,823,27,105,30,2216,15,7,33,19,40
liriape01,2,0,0,0,0,0,0,0,16,0,0,0,1,0,0,1,0,0
liriary01,2,33,12,17,5,53,2,14,59,0,4,1,150,1,2,0,1,6
lisenho01,8,51,17,16,0,98,0,18,207,1,3,0,301,NULL,1,23,NULL,1
lisiri01,1,5,1,6,0,0,0,4,9,0,0,1,16,0,0,0,0,0
lisjo01,9,182,92,96,1,209,32,110,356,1,31,3,780,3,8,3,6,26
liskaad01,5,11,4,6,0,41,0,8,113,0,2,0,103,NULL,1,4,NULL,0
listapa01,6,444,143,250,116,338,5,167,503,13,63,38,1772,2,8,35,9,26
listepe01,1,18,4,5,2,15,0,3,22,0,2,NULL,65,NULL,1,2,NULL,NULL
litscje01,5,0,0,0,0,0,0,0,88,0,0,0,5,0,0,0,0,0
littema01,9,2,3,1,0,18,0,2,316,0,0,0,34,0,0,1,0,0
litteza01,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
littlbr01,6,226,77,126,8,79,3,120,327,5,37,10,922,1,6,16,8,21
littlca01,2,5,1,2,0,4,0,0,27,0,1,NULL,23,NULL,0,0,NULL,NULL
littlde01,3,45,15,17,0,53,1,28,78,1,7,0,222,5,0,5,5,5
littldi01,13,28,10,11,0,71,0,12,245,1,3,0,193,0,0,11,0,2
littlha01,3,2,0,2,NULL,7,0,2,4,0,0,NULL,15,NULL,NULL,NULL,NULL,NULL
littlja01,1,3,0,2,2,NULL,0,1,3,0,0,NULL,12,NULL,1,0,NULL,NULL
littlje01,2,1,0,1,0,2,0,0,40,0,0,0,6,0,0,0,0,2
littljo01,2,0,0,1,0,3,0,0,94,0,0,0,12,0,0,2,0,0
littlla01,1,0,1,2,0,6,0,3,26,0,0,0,23,0,0,0,1,2
littlma01,6,61,22,46,8,66,3,18,148,3,11,4,247,1,14,2,1,1
littlsc01,1,1,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0
littlwe01,3,0,0,0,0,1,0,0,80,0,0,0,1,0,0,0,0,0
littogr01,6,195,97,78,1,167,13,58,374,5,43,6,809,2,4,17,5,18
littrja01,4,52,17,22,1,60,2,20,111,3,6,0,255,1,0,3,1,4
litwhda01,14,982,451,428,11,377,107,299,1057,32,162,0,3494,NULL,27,38,NULL,86
livelbe01,3,6,8,2,0,11,2,0,26,0,0,0,33,0,0,0,0,0
livelbu01,3,10,3,4,0,9,0,5,79,1,4,NULL,60,NULL,0,4,NULL,1
livelja01,1,11,4,6,0,NULL,0,4,20,1,2,NULL,43,NULL,1,0,NULL,NULL
livenwe01,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
livinbo01,2,7,2,3,0,7,0,2,14,0,0,0,25,0,0,4,0,1
livinja01,1,1,0,1,0,1,0,0,2,0,1,NULL,6,NULL,0,0,NULL,NULL
livinmi01,13,354,153,128,7,141,19,144,561,9,56,0,1490,NULL,13,18,NULL,43
livinpa01,7,120,45,48,9,55,0,41,206,12,17,NULL,574,NULL,22,23,NULL,NULL
livinsc01,10,431,177,163,10,189,17,89,673,4,76,12,1533,5,0,5,19,29
lizotab01,1,3,3,3,1,2,0,2,7,0,0,NULL,29,NULL,0,1,NULL,NULL
lizra01,4,0,0,1,0,3,0,0,42,0,0,0,7,0,0,0,0,0
